timestamp,unix_time,vllm:num_requests_running,vllm:num_requests_waiting,vllm:engine_sleep_state,vllm:kv_cache_usage_perc,vllm:prefix_cache_queries_total,vllm:prefix_cache_queries_created,vllm:prefix_cache_hits_total,vllm:prefix_cache_hits_created,vllm:external_prefix_cache_queries_total,vllm:external_prefix_cache_queries_created,vllm:external_prefix_cache_hits_total,vllm:external_prefix_cache_hits_created,vllm:mm_cache_queries_total,vllm:mm_cache_queries_created,vllm:mm_cache_hits_total,vllm:mm_cache_hits_created,vllm:num_preemptions_total,vllm:num_preemptions_created,vllm:prompt_tokens_total,vllm:prompt_tokens_created,vllm:generation_tokens_total,vllm:generation_tokens_created,vllm:request_success_total,vllm:request_success_created,vllm:request_prompt_tokens_bucket,vllm:request_prompt_tokens_count,vllm:request_prompt_tokens_sum,vllm:request_prompt_tokens_created,vllm:request_generation_tokens_bucket,vllm:request_generation_tokens_count,vllm:request_generation_tokens_sum,vllm:request_generation_tokens_created,vllm:iteration_tokens_total_bucket,vllm:iteration_tokens_total_count,vllm:iteration_tokens_total_sum,vllm:iteration_tokens_total_created,vllm:request_max_num_generation_tokens_bucket,vllm:request_max_num_generation_tokens_count,vllm:request_max_num_generation_tokens_sum,vllm:request_max_num_generation_tokens_created,vllm:request_params_n_bucket,vllm:request_params_n_count,vllm:request_params_n_sum,vllm:request_params_n_created,vllm:request_params_max_tokens_bucket,vllm:request_params_max_tokens_count,vllm:request_params_max_tokens_sum,vllm:request_params_max_tokens_created,vllm:time_to_first_token_seconds_bucket,vllm:time_to_first_token_seconds_count,vllm:time_to_first_token_seconds_sum,vllm:time_to_first_token_seconds_created,vllm:inter_token_latency_seconds_bucket,vllm:inter_token_latency_seconds_count,vllm:inter_token_latency_seconds_sum,vllm:inter_token_latency_seconds_created,vllm:request_time_per_output_token_seconds_bucket,vllm:request_time_per_output_token_seconds_count,vllm:request_time_per_output_token_seconds_sum,vllm:request_time_per_output_token_seconds_created,vllm:e2e_request_latency_seconds_bucket,vllm:e2e_request_latency_seconds_count,vllm:e2e_request_latency_seconds_sum,vllm:e2e_request_latency_seconds_created,vllm:request_queue_time_seconds_bucket,vllm:request_queue_time_seconds_count,vllm:request_queue_time_seconds_sum,vllm:request_queue_time_seconds_created,vllm:request_inference_time_seconds_bucket,vllm:request_inference_time_seconds_count,vllm:request_inference_time_seconds_sum,vllm:request_inference_time_seconds_created,vllm:request_prefill_time_seconds_bucket,vllm:request_prefill_time_seconds_count,vllm:request_prefill_time_seconds_sum,vllm:request_prefill_time_seconds_created,vllm:request_decode_time_seconds_bucket,vllm:request_decode_time_seconds_count,vllm:request_decode_time_seconds_sum,vllm:request_decode_time_seconds_created,vllm:request_prefill_kv_computed_tokens_bucket,vllm:request_prefill_kv_computed_tokens_count,vllm:request_prefill_kv_computed_tokens_sum,vllm:request_prefill_kv_computed_tokens_created,vllm:cache_config_info
2026-01-26T23:57:19.454797,1769471839.45482,0.0,0.0,0.0,0.0,0.0,1769471573.4454894,0.0,1769471573.4455404,0.0,1769471573.4455853,0.0,1769471573.4456275,0.0,1769471573.4456835,0.0,1769471573.445725,0.0,1769471573.4457674,0.0,1769471573.4458084,0.0,1769471573.4458601,0.0,1769471573.4459953,0.0,0.0,0.0,1769471573.4461076,0.0,0.0,0.0,1769471573.4462733,0.0,0.0,0.0,1769471573.446383,0.0,0.0,0.0,1769471573.446502,0.0,0.0,0.0,1769471573.4466078,0.0,0.0,0.0,1769471573.4472492,0.0,0.0,0.0,1769471573.4473603,0.0,0.0,0.0,1769471573.4475033,0.0,0.0,0.0,1769471573.4476461,0.0,0.0,0.0,1769471573.4477673,0.0,0.0,0.0,1769471573.4479113,0.0,0.0,0.0,1769471573.448052,0.0,0.0,0.0,1769471573.4481785,0.0,0.0,0.0,1769471573.4483318,0.0,0.0,0.0,1769471573.4484684,1.0
2026-01-26T23:57:19.977890,1769471839.977916,0.0,0.0,0.0,0.0,0.0,1769471573.4454894,0.0,1769471573.4455404,0.0,1769471573.4455853,0.0,1769471573.4456275,0.0,1769471573.4456835,0.0,1769471573.445725,0.0,1769471573.4457674,0.0,1769471573.4458084,0.0,1769471573.4458601,0.0,1769471573.4459953,0.0,0.0,0.0,1769471573.4461076,0.0,0.0,0.0,1769471573.4462733,0.0,0.0,0.0,1769471573.446383,0.0,0.0,0.0,1769471573.446502,0.0,0.0,0.0,1769471573.4466078,0.0,0.0,0.0,1769471573.4472492,0.0,0.0,0.0,1769471573.4473603,0.0,0.0,0.0,1769471573.4475033,0.0,0.0,0.0,1769471573.4476461,0.0,0.0,0.0,1769471573.4477673,0.0,0.0,0.0,1769471573.4479113,0.0,0.0,0.0,1769471573.448052,0.0,0.0,0.0,1769471573.4481785,0.0,0.0,0.0,1769471573.4483318,0.0,0.0,0.0,1769471573.4484684,1.0
2026-01-26T23:57:20.500414,1769471840.5004387,0.0,0.0,0.0,0.0,0.0,1769471573.4454894,0.0,1769471573.4455404,0.0,1769471573.4455853,0.0,1769471573.4456275,0.0,1769471573.4456835,0.0,1769471573.445725,0.0,1769471573.4457674,0.0,1769471573.4458084,0.0,1769471573.4458601,0.0,1769471573.4459953,0.0,0.0,0.0,1769471573.4461076,0.0,0.0,0.0,1769471573.4462733,0.0,0.0,0.0,1769471573.446383,0.0,0.0,0.0,1769471573.446502,0.0,0.0,0.0,1769471573.4466078,0.0,0.0,0.0,1769471573.4472492,0.0,0.0,0.0,1769471573.4473603,0.0,0.0,0.0,1769471573.4475033,0.0,0.0,0.0,1769471573.4476461,0.0,0.0,0.0,1769471573.4477673,0.0,0.0,0.0,1769471573.4479113,0.0,0.0,0.0,1769471573.448052,0.0,0.0,0.0,1769471573.4481785,0.0,0.0,0.0,1769471573.4483318,0.0,0.0,0.0,1769471573.4484684,1.0
2026-01-26T23:57:21.023224,1769471841.0232484,0.0,0.0,0.0,0.0,0.0,1769471573.4454894,0.0,1769471573.4455404,0.0,1769471573.4455853,0.0,1769471573.4456275,0.0,1769471573.4456835,0.0,1769471573.445725,0.0,1769471573.4457674,0.0,1769471573.4458084,0.0,1769471573.4458601,0.0,1769471573.4459953,0.0,0.0,0.0,1769471573.4461076,0.0,0.0,0.0,1769471573.4462733,0.0,0.0,0.0,1769471573.446383,0.0,0.0,0.0,1769471573.446502,0.0,0.0,0.0,1769471573.4466078,0.0,0.0,0.0,1769471573.4472492,0.0,0.0,0.0,1769471573.4473603,0.0,0.0,0.0,1769471573.4475033,0.0,0.0,0.0,1769471573.4476461,0.0,0.0,0.0,1769471573.4477673,0.0,0.0,0.0,1769471573.4479113,0.0,0.0,0.0,1769471573.448052,0.0,0.0,0.0,1769471573.4481785,0.0,0.0,0.0,1769471573.4483318,0.0,0.0,0.0,1769471573.4484684,1.0
2026-01-26T23:57:21.545994,1769471841.5460184,0.0,0.0,0.0,0.0,0.0,1769471573.4454894,0.0,1769471573.4455404,0.0,1769471573.4455853,0.0,1769471573.4456275,0.0,1769471573.4456835,0.0,1769471573.445725,0.0,1769471573.4457674,0.0,1769471573.4458084,0.0,1769471573.4458601,0.0,1769471573.4459953,0.0,0.0,0.0,1769471573.4461076,0.0,0.0,0.0,1769471573.4462733,0.0,0.0,0.0,1769471573.446383,0.0,0.0,0.0,1769471573.446502,0.0,0.0,0.0,1769471573.4466078,0.0,0.0,0.0,1769471573.4472492,0.0,0.0,0.0,1769471573.4473603,0.0,0.0,0.0,1769471573.4475033,0.0,0.0,0.0,1769471573.4476461,0.0,0.0,0.0,1769471573.4477673,0.0,0.0,0.0,1769471573.4479113,0.0,0.0,0.0,1769471573.448052,0.0,0.0,0.0,1769471573.4481785,0.0,0.0,0.0,1769471573.4483318,0.0,0.0,0.0,1769471573.4484684,1.0
2026-01-26T23:57:22.067838,1769471842.0678623,0.0,0.0,0.0,0.0,0.0,1769471573.4454894,0.0,1769471573.4455404,0.0,1769471573.4455853,0.0,1769471573.4456275,0.0,1769471573.4456835,0.0,1769471573.445725,0.0,1769471573.4457674,0.0,1769471573.4458084,0.0,1769471573.4458601,0.0,1769471573.4459953,0.0,0.0,0.0,1769471573.4461076,0.0,0.0,0.0,1769471573.4462733,0.0,0.0,0.0,1769471573.446383,0.0,0.0,0.0,1769471573.446502,0.0,0.0,0.0,1769471573.4466078,0.0,0.0,0.0,1769471573.4472492,0.0,0.0,0.0,1769471573.4473603,0.0,0.0,0.0,1769471573.4475033,0.0,0.0,0.0,1769471573.4476461,0.0,0.0,0.0,1769471573.4477673,0.0,0.0,0.0,1769471573.4479113,0.0,0.0,0.0,1769471573.448052,0.0,0.0,0.0,1769471573.4481785,0.0,0.0,0.0,1769471573.4483318,0.0,0.0,0.0,1769471573.4484684,1.0
2026-01-26T23:57:22.590843,1769471842.5908594,0.0,0.0,0.0,0.0,0.0,1769471573.4454894,0.0,1769471573.4455404,0.0,1769471573.4455853,0.0,1769471573.4456275,0.0,1769471573.4456835,0.0,1769471573.445725,0.0,1769471573.4457674,0.0,1769471573.4458084,0.0,1769471573.4458601,0.0,1769471573.4459953,0.0,0.0,0.0,1769471573.4461076,0.0,0.0,0.0,1769471573.4462733,0.0,0.0,0.0,1769471573.446383,0.0,0.0,0.0,1769471573.446502,0.0,0.0,0.0,1769471573.4466078,0.0,0.0,0.0,1769471573.4472492,0.0,0.0,0.0,1769471573.4473603,0.0,0.0,0.0,1769471573.4475033,0.0,0.0,0.0,1769471573.4476461,0.0,0.0,0.0,1769471573.4477673,0.0,0.0,0.0,1769471573.4479113,0.0,0.0,0.0,1769471573.448052,0.0,0.0,0.0,1769471573.4481785,0.0,0.0,0.0,1769471573.4483318,0.0,0.0,0.0,1769471573.4484684,1.0
2026-01-26T23:57:23.112146,1769471843.11217,0.0,0.0,0.0,0.0,0.0,1769471573.4454894,0.0,1769471573.4455404,0.0,1769471573.4455853,0.0,1769471573.4456275,0.0,1769471573.4456835,0.0,1769471573.445725,0.0,1769471573.4457674,0.0,1769471573.4458084,0.0,1769471573.4458601,0.0,1769471573.4459953,0.0,0.0,0.0,1769471573.4461076,0.0,0.0,0.0,1769471573.4462733,0.0,0.0,0.0,1769471573.446383,0.0,0.0,0.0,1769471573.446502,0.0,0.0,0.0,1769471573.4466078,0.0,0.0,0.0,1769471573.4472492,0.0,0.0,0.0,1769471573.4473603,0.0,0.0,0.0,1769471573.4475033,0.0,0.0,0.0,1769471573.4476461,0.0,0.0,0.0,1769471573.4477673,0.0,0.0,0.0,1769471573.4479113,0.0,0.0,0.0,1769471573.448052,0.0,0.0,0.0,1769471573.4481785,0.0,0.0,0.0,1769471573.4483318,0.0,0.0,0.0,1769471573.4484684,1.0
2026-01-26T23:57:23.634242,1769471843.6342664,0.0,0.0,0.0,0.0,0.0,1769471573.4454894,0.0,1769471573.4455404,0.0,1769471573.4455853,0.0,1769471573.4456275,0.0,1769471573.4456835,0.0,1769471573.445725,0.0,1769471573.4457674,0.0,1769471573.4458084,0.0,1769471573.4458601,0.0,1769471573.4459953,0.0,0.0,0.0,1769471573.4461076,0.0,0.0,0.0,1769471573.4462733,0.0,0.0,0.0,1769471573.446383,0.0,0.0,0.0,1769471573.446502,0.0,0.0,0.0,1769471573.4466078,0.0,0.0,0.0,1769471573.4472492,0.0,0.0,0.0,1769471573.4473603,0.0,0.0,0.0,1769471573.4475033,0.0,0.0,0.0,1769471573.4476461,0.0,0.0,0.0,1769471573.4477673,0.0,0.0,0.0,1769471573.4479113,0.0,0.0,0.0,1769471573.448052,0.0,0.0,0.0,1769471573.4481785,0.0,0.0,0.0,1769471573.4483318,0.0,0.0,0.0,1769471573.4484684,1.0
2026-01-26T23:57:24.156425,1769471844.1564531,0.0,0.0,0.0,0.0,0.0,1769471573.4454894,0.0,1769471573.4455404,0.0,1769471573.4455853,0.0,1769471573.4456275,0.0,1769471573.4456835,0.0,1769471573.445725,0.0,1769471573.4457674,0.0,1769471573.4458084,0.0,1769471573.4458601,0.0,1769471573.4459953,0.0,0.0,0.0,1769471573.4461076,0.0,0.0,0.0,1769471573.4462733,0.0,0.0,0.0,1769471573.446383,0.0,0.0,0.0,1769471573.446502,0.0,0.0,0.0,1769471573.4466078,0.0,0.0,0.0,1769471573.4472492,0.0,0.0,0.0,1769471573.4473603,0.0,0.0,0.0,1769471573.4475033,0.0,0.0,0.0,1769471573.4476461,0.0,0.0,0.0,1769471573.4477673,0.0,0.0,0.0,1769471573.4479113,0.0,0.0,0.0,1769471573.448052,0.0,0.0,0.0,1769471573.4481785,0.0,0.0,0.0,1769471573.4483318,0.0,0.0,0.0,1769471573.4484684,1.0
