timestamp_unix,vllm:gpu_cache_usage_perc,vllm:num_preemptions_total,vllm:num_requests_running,vllm:num_requests_swapped,vllm:num_requests_waiting
1768908030.3226154,0.0,1935.0,0.0,0.0,0.0
1768908030.5481138,0.0,1935.0,0.0,0.0,0.0
1768908030.7639644,0.0,1935.0,0.0,0.0,0.0
1768908030.986144,0.0,1935.0,0.0,0.0,0.0
1768908031.208573,0.0,1935.0,0.0,0.0,0.0
1768908031.4298723,0.0,1935.0,0.0,0.0,0.0
1768908031.6517556,0.0,1935.0,0.0,0.0,0.0
1768908031.8744614,0.0,1935.0,0.0,0.0,0.0
1768908032.0957386,0.0,1935.0,0.0,0.0,0.0
1768908032.3180485,0.0,1935.0,0.0,0.0,0.0
1768908032.5396516,0.0,1935.0,0.0,0.0,0.0
1768908032.7604618,0.0,1935.0,0.0,0.0,0.0
1768908032.9846578,0.0,1935.0,0.0,0.0,0.0
1768908033.2059922,0.0,1935.0,0.0,0.0,0.0
1768908033.429703,0.0,1935.0,0.0,0.0,0.0
1768908033.6514814,0.0,1935.0,0.0,0.0,0.0
1768908033.8732836,0.0,1935.0,0.0,0.0,0.0
1768908034.095358,0.0,1935.0,0.0,0.0,0.0
1768908034.31778,0.0,1935.0,0.0,0.0,0.0
1768908034.5389533,0.0,1935.0,0.0,0.0,0.0
1768908034.7631266,0.0,1935.0,0.0,0.0,0.0
1768908034.984495,0.0,1935.0,0.0,0.0,0.0
1768908035.205701,0.0,1935.0,0.0,0.0,0.0
1768908035.4274023,0.0,1935.0,0.0,0.0,0.0
1768908035.649776,0.0,1935.0,0.0,0.0,0.0
1768908035.8727412,0.0,1935.0,0.0,0.0,0.0
1768908036.0953696,0.0,1935.0,0.0,0.0,0.0
1768908036.318836,0.0,1935.0,0.0,0.0,0.0
1768908036.540651,0.0,1935.0,0.0,0.0,0.0
1768908036.7615867,0.0,1935.0,0.0,0.0,0.0
1768908036.984176,0.0,1935.0,0.0,0.0,0.0
1768908037.2056532,0.0,1935.0,0.0,0.0,0.0
1768908037.427646,0.0,1935.0,0.0,0.0,0.0
1768908037.651113,0.0,1935.0,0.0,0.0,0.0
1768908037.8749728,0.0,1935.0,0.0,0.0,0.0
1768908038.0979352,0.0,1935.0,0.0,0.0,0.0
1768908038.3190782,0.0,1935.0,0.0,0.0,0.0
1768908038.5411263,0.0,1935.0,0.0,0.0,0.0
1768908038.7629106,0.0,1935.0,0.0,0.0,0.0
1768908038.9849432,0.0,1935.0,0.0,0.0,0.0
1768908039.2076268,0.0,1935.0,0.0,0.0,0.0
1768908039.4297652,0.0,1935.0,0.0,0.0,0.0
1768908039.651468,0.0,1935.0,0.0,0.0,0.0
1768908039.8735895,0.0,1935.0,0.0,0.0,0.0
1768908040.0954127,0.0,1935.0,0.0,0.0,0.0
1768908040.3175132,0.0,1935.0,0.0,0.0,0.0
1768908040.5396063,0.0,1935.0,0.0,0.0,0.0
1768908040.763046,0.0,1935.0,0.0,0.0,0.0
1768908040.9834712,0.0,1935.0,0.0,0.0,0.0
1768908041.2107906,0.0,1935.0,0.0,0.0,0.0
1768908041.4331906,0.0,1935.0,0.0,0.0,0.0
1768908041.6555204,0.0,1935.0,0.0,0.0,0.0
1768908041.8780568,0.0,1935.0,0.0,0.0,0.0
1768908042.10138,0.0,1935.0,0.0,0.0,0.0
1768908042.3234887,0.0,1935.0,0.0,0.0,0.0
1768908042.5458915,0.0,1935.0,0.0,0.0,0.0
1768908042.768209,0.0,1935.0,0.0,0.0,0.0
1768908042.9904068,0.0,1935.0,0.0,0.0,0.0
1768908043.2141438,0.0,1935.0,0.0,0.0,0.0
1768908043.4359186,0.0,1935.0,0.0,0.0,0.0
1768908043.6584592,0.0,1935.0,0.0,0.0,0.0
1768908043.8805716,0.0,1935.0,0.0,0.0,0.0
1768908044.1020024,0.0,1935.0,0.0,0.0,0.0
1768908044.323617,0.0,1935.0,0.0,0.0,0.0
1768908044.544136,0.0,1935.0,0.0,0.0,0.0
1768908044.7647464,0.0,1935.0,0.0,0.0,0.0
1768908044.9859996,0.0,1935.0,0.0,0.0,0.0
1768908045.2067058,0.0,1935.0,0.0,0.0,0.0
1768908045.4280674,0.0,1935.0,0.0,0.0,0.0
1768908045.6494405,0.0,1935.0,0.0,0.0,0.0
1768908045.8737988,0.0,1935.0,0.0,0.0,0.0
